source_path,base_experiment_id,sim_economy_mode,sim_market_spend_mode,sim_price_band_mode,sim_market_choice_mode,fresh_gate_pass,ml_gate_pass,actual_balanced_none,actual_balanced_v9,actual_balanced_delta,actual_power_none,actual_power_v9,actual_power_delta,predicted_balanced_none,predicted_balanced_v9,predicted_balanced_delta,predicted_power_none,predicted_power_v9,predicted_power_delta,recommendation_score
logs/sim/economy_probe_v1_r20_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.65,0.65,0.0,0.55,0.7,0.15,0.5242,0.645,0.1208,0.614,0.705,0.091,3.4985
logs/sim/prototype_stability_v91_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.425,0.6167,0.1917,0.625,0.6333,0.0083,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,3.4851
logs/sim/run_modifier_candidate_fair_t108_r112_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.35,0.55,0.2,0.4583,0.5,0.0417,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,3.4768
logs/sim/run_modifier_candidate_fair_t102_r112_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.4917,0.6333,0.1417,0.55,0.6083,0.0583,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,3.4726
logs/sim/economy_choice_reward040_price240_v1_r800_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,affordable_alternative_v1,1,1,0.575,0.6575,0.0825,0.6225,0.6813,0.0587,0.4914,0.6274,0.136,0.6033,0.6761,0.0727,3.4687
logs/sim/ml_sweep_shape_floor_v87_runtime_parity_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5667,0.6583,0.0917,0.6083,0.65,0.0417,0.5242,0.645,0.1208,0.614,0.705,0.091,3.4319
logs/sim/run_modifier_candidate_fair_t106_r116_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.3833,0.575,0.1917,0.4917,0.5167,0.025,0.4961,0.5821,0.086,0.5831,0.6272,0.0441,3.4018
logs/sim/runtime_s4_rank_weight_v1_v9_lift_first_reroll_free_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068_runtime_station_pool_s4_rank_weight_v1,trace_only,none,none,none,1,1,0.4833,0.55,0.0667,0.55,0.6667,0.1167,0.5305,0.6141,0.0836,0.6015,0.6883,0.0868,3.3992
logs/sim/ml_sweep_market_v9_v11_v90_explore_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,trace_only,none,none,none,1,1,0.5333,0.6,0.0667,0.6417,0.7167,0.075,0.5242,0.645,0.1208,0.614,0.705,0.091,3.3902
logs/sim/economy_combo045_220_v1_r120_summary.json,base_score_curve_v2_boss_constraint_pool_v4_s1_soft_v2_late_guard_v1_s1_resource_weighted_boss_v3_late_boss_068,gated_known_cost,reroll_slot_sell_v1,none,none,1,1,0.525,0.6417,0.1167,0.625,0.6417,0.0167,0.5225,0.6312,0.1087,0.5835,0.668,0.0845,3.3823
